Profile,Document,Submitted Date,Principal Jurisdiction,File Size,PDF Link
,Minera Alamos Inc. / Minera Alamos Inc. (000009698),News release - English.pdf,18 Nov 2024 07:26 ESTNovember 18 2024 at 07:26:26 Eastern Standard Time,Ontario,https://www.sedarplus.ca/csa-party/viewInstance/view.html?id=0c11f8b7998bcd961f86616dad3714fd3f20b03ac1ac3a21&_timestamp=8626551280350907#
,BCE Inc. / BCE Inc. (000000326),Other.pdf,18 Nov 2024 07:25 ESTNovember 18 2024 at 07:25:00 Eastern Standard Time,Québec,https://www.sedarplus.ca/csa-party/viewInstance/view.html?id=0c11f8b7998bcd961f86616dad3714fd3f20b03ac1ac3a21&_timestamp=8626551280350907#
,BCE Inc. / BCE Inc. (000000326),Other.pdf,18 Nov 2024 07:25 ESTNovember 18 2024 at 07:25:00 Eastern Standard Time,Québec,https://www.sedarplus.ca/csa-party/viewInstance/view.html?id=0c11f8b7998bcd961f86616dad3714fd3f20b03ac1ac3a21&_timestamp=8626551280350907#
,BCE Inc. / BCE Inc. (000000326),Other securityholders documents - English.pdf,18 Nov 2024 07:25 ESTNovember 18 2024 at 07:25:00 Eastern Standard Time,Québec,https://www.sedarplus.ca/csa-party/viewInstance/view.html?id=0c11f8b7998bcd961f86616dad3714fd3f20b03ac1ac3a21&_timestamp=8626551280350907#
,BCE Inc. / BCE Inc. (000000326),Other securityholders documents - French.pdf,18 Nov 2024 07:25 ESTNovember 18 2024 at 07:25:00 Eastern Standard Time,Québec,https://www.sedarplus.ca/csa-party/viewInstance/view.html?id=0c11f8b7998bcd961f86616dad3714fd3f20b03ac1ac3a21&_timestamp=8626551280350907#
,Verde AgriTech Ltd. / Verde AgriTech Ltd. (000055572),News release - English.pdf,18 Nov 2024 07:16 ESTNovember 18 2024 at 07:16:46 Eastern Standard Time,Ontario,https://www.sedarplus.ca/csa-party/viewInstance/view.html?id=0c11f8b7998bcd961f86616dad3714fd3f20b03ac1ac3a21&_timestamp=8626551280350907#
,Cybin Inc. / Cybin Inc. (000043609),News release - English.pdf,18 Nov 2024 07:16 ESTNovember 18 2024 at 07:16:09 Eastern Standard Time,Ontario,https://www.sedarplus.ca/csa-party/viewInstance/view.html?id=0c11f8b7998bcd961f86616dad3714fd3f20b03ac1ac3a21&_timestamp=8626551280350907#
,Manulife Financial Corporation / Société Financière Manuvie (000012214),Material change report - English.pdf,18 Nov 2024 07:16 ESTNovember 18 2024 at 07:16:04 Eastern Standard Time,Ontario,https://www.sedarplus.ca/csa-party/viewInstance/view.html?id=0c11f8b7998bcd961f86616dad3714fd3f20b03ac1ac3a21&_timestamp=8626551280350907#
,Manulife Financial Corporation / Société Financière Manuvie (000012214),Material change report - French.pdf,18 Nov 2024 07:16 ESTNovember 18 2024 at 07:16:04 Eastern Standard Time,Ontario,https://www.sedarplus.ca/csa-party/viewInstance/view.html?id=0c11f8b7998bcd961f86616dad3714fd3f20b03ac1ac3a21&_timestamp=8626551280350907#
,Therma Bright Inc. / Therma Bright Inc. (000016201),News release - English.pdf,18 Nov 2024 07:15 ESTNovember 18 2024 at 07:15:39 Eastern Standard Time,Ontario,https://www.sedarplus.ca/csa-party/viewInstance/view.html?id=0c11f8b7998bcd961f86616dad3714fd3f20b03ac1ac3a21&_timestamp=8626551280350907#
